0,2,12,11,0
0,2,13,11,0
0,2,14,11,0
0,2,15,11,0
0,2,16,11,0
0,2,17,11,0
0,2,18,11,0
0,2,19,11,0
0,2,11,20,0
0,12,2,13,0
0,12,2,14,0
0,12,2,15,0
0,12,2,16,0
0,12,2,17,0
0,12,2,18,0
0,2,12,19,0
0,2,12,20,0
0,2,14,13,0
0,2,15,13,0
0,13,2,16,0
0,2,13,17,0
0,2,13,18,0
0,2,13,19,0
0,13,2,20,0
0,2,15,14,0
0,2,14,16,0
0,2,14,17,0
0,2,14,18,0
0,2,14,19,0
0,2,14,20,0
0,2,15,16,0
0,2,15,17,0
0,2,15,18,0
0,2,15,19,0
0,15,2,20,0
0,2,16,17,0
0,2,16,18,0
0,2,16,19,0
0,2,16,20,0
0,2,17,18,0
0,2,17,19,0
0,2,17,20,0
0,2,18,19,0
0,2,18,20,0
0,2,19,20,0
0,3,4,5,0
0,3,4,6,0
0,4,3,7,0
0,4,3,8,0
0,4,3,9,0
0,4,3,10,0
0,4,3,11,0
0,3,12,4,0
0,3,4,13,0
0,3,4,14,0
0,3,4,15,0
0,3,4,16,0
0,3,4,17,0
0,4,3,18,0
0,4,3,19,0
0,4,3,20,0
0,3,5,6,0
0,3,7,5,0
0,3,8,5,0
0,3,9,5,0
0,3,10,5,0
0,3,11,5,0
0,3,12,5,0
0,3,14,5,0
0,3,15,5,0
0,3,5,16,0
0,3,17,5,0
0,3,18,5,0
0,3,19,5,0
0,3,20,5,0
0,3,7,6,0
0,3,8,6,0
0,3,9,6,0
0,3,10,6,0
0,3,11,6,0
0,3,12,6,0
0,3,13,6,0
0,3,14,6,0
0,3,15,6,0
0,3,16,6,0
0,3,17,6,0
0,3,18,6,0
0,3,19,6,0
0,3,20,6,0
0,3,7,8,0
0,3,9,7,0
0,3,10,7,0
0,3,11,7,0
0,7,3,12,0
0,3,7,13,0
0,3,7,14,0
0,7,3,15,0
0,3,7,16,0
0,3,7,17,0
0,3,7,18,0
0,3,19,7,0
0,3,20,7,0
0,3,9,8,0
0,3,10,8,0
0,3,11,8,0
0,8,3,12,0
0,3,8,13,0
0,3,8,14,0
0,3,15,8,0
0,3,8,16,0
0,3,8,17,0
0,3,8,18,0
0,3,19,8,0
0,3,20,8,0
0,3,9,10,0
0,3,9,11,0
0,9,3,12,0
0,9,3,13,0
0,9,3,14,0
0,9,3,15,0
0,3,9,16,0
0,3,9,17,0
0,3,9,18,0
0,3,9,19,0
0,3,9,20,0
0,3,10,11,0
0,10,3,12,0
0,3,10,13,0
0,3,10,14,0
0,10,3,15,0
0,3,10,16,0
0,3,10,17,0
0,3,10,18,0
0,3,10,19,0
0,3,20,10,0
0,11,3,12,0
0,3,11,13,0
0,3,11,14,0
0,11,3,15,0
0,3,11,16,0
0,3,11,17,0
0,3,11,18,0
0,3,11,19,0
0,3,20,11,0
0,3,12,13,0
0,3,12,14,0
0,3,12,15,0
0,3,12,16,0
0,12,3,17,0
0,12,3,18,0
0,12,3,19,0
0,12,3,20,0
0,3,13,14,0
0,3,15,13,0
0,3,13,16,0
0,3,13,17,0
0,3,18,13,0
0,3,19,13,0
0,13,3,20,0
0,3,15,14,0
0,3,14,16,0
0,3,14,17,0
0,3,18,14,0
0,3,19,14,0
0,14,3,20,0
0,3,15,16,0
0,3,15,17,0
0,3,15,18,0
0,15,3,19,0
0,15,3,20,0
0,3,17,16,0
0,3,18,16,0
0,3,19,16,0
0,3,20,16,0
0,3,18,17,0
0,3,19,17,0
0,3,20,17,0
0,3,19,18,0
0,3,20,18,0
0,3,20,19,0
0,4,6,5,0
0,4,5,7,0
0,4,5,8,0
0,4,5,11,0
0,4,15,5,0
0,4,17,5,0
0,4,5,18,0
0,4,20,5,0
0,4,6,7,0
0,4,6,8,0
0,6,4,9,0
0,4,6,10,0
0,4,6,11,0
0,6,4,12,0
0,4,13,6,0
0,4,14,6,0
0,4,15,6,0
0,4,16,6,0
0,4,6,17,0
0,4,6,18,0
0,4,6,19,0
0,6,4,20,0
0,4,8,7,0
0,4,9,7,0
0,4,10,7,0
0,4,11,7,0
0,4,12,7,0
0,4,13,7,0
0,4,14,7,0
0,4,15,7,0
0,4,16,7,0
0,4,17,7,0
0,4,18,7,0
0,4,19,7,0
0,4,20,7,0
0,4,9,8,0
0,4,10,8,0
0,4,11,8,0
0,8,4,12,0
0,4,13,8,0
0,4,14,8,0
0,4,15,8,0
0,4,16,8,0
0,4,17,8,0
0,4,8,18,0
0,4,8,19,0
0,4,20,8,0
0,4,9,10,0
0,4,9,11,0
0,4,12,9,0
0,9,4,13,0
0,9,4,14,0
0,9,4,15,0
0,9,4,16,0
0,9,4,17,0
0,4,9,18,0
0,4,9,19,0
0,4,9,20,0
0,4,10,11,0
0,4,12,10,0
0,10,4,13,0
0,4,14,10,0
0,10,4,15,0
0,4,16,10,0
0,4,17,10,0
0,4,10,18,0
0,4,10,19,0
0,4,20,10,0
0,4,12,11,0
0,4,13,11,0
0,4,14,11,0
0,4,15,11,0
0,4,16,11,0
0,4,17,11,0
0,4,11,18,0
0,4,11,19,0
0,4,20,11,0
0,12,4,14,0
0,12,4,15,0
0,12,4,16,0
0,12,4,17,0
0,12,4,18,0
0,4,12,19,0
0,4,12,20,0
0,4,15,13,0
0,4,13,17,0
0,4,13,18,0
0,4,13,19,0
0,13,4,20,0
0,4,15,14,0
0,4,14,16,0
0,4,14,17,0
0,4,14,18,0
0,4,14,19,0
0,14,4,20,0
0,4,15,16,0
0,4,15,17,0
0,4,15,18,0
0,4,15,19,0
0,15,4,20,0
0,4,16,17,0
0,4,16,18,0
0,4,16,19,0
0,16,4,20,0
0,4,17,18,0
0,4,17,19,0
0,4,20,17,0
0,4,18,19,0
0,4,20,18,0
0,4,20,19,0
0,6,5,7,0
0,6,5,8,0
0,6,5,9,0
0,6,5,10,0
0,6,5,11,0
0,5,6,12,0
0,6,5,13,0
0,6,5,14,0
0,6,5,15,0
0,5,16,6,0
0,6,5,17,0
0,6,5,18,0
0,6,5,19,0
0,6,5,20,0
0,5,8,7,0
0,5,7,9,0
0,5,7,10,0
0,5,7,11,0
0,5,7,12,0
0,7,5,13,0
0,7,5,14,0
0,7,5,15,0
0,7,5,16,0
0,5,17,7,0
0,5,18,7,0
0,5,19,7,0
0,5,7,20,0
0,5,8,9,0
0,5,8,10,0
0,5,8,11,0
0,5,8,12,0
0,8,5,13,0
0,8,5,14,0
0,8,5,15,0
0,8,5,16,0
0,5,17,8,0
0,5,8,18,0
0,5,8,19,0
0,5,8,20,0
0,5,10,9,0
0,5,11,9,0
0,9,5,15,0
0,5,17,9,0
0,5,18,9,0
0,5,19,9,0
0,5,20,9,0
0,5,11,10,0
0,10,5,15,0
0,5,17,10,0
0,5,18,10,0
0,5,19,10,0
0,5,10,20,0
0,5,11,12,0
0,11,5,14,0
0,11,5,15,0
0,11,5,16,0
0,5,17,11,0
0,5,18,11,0
0,5,19,11,0
0,5,11,20,0
