0,6,14,13,0
0,6,15,13,0
0,6,14,15,0
0,8,7,9,0
0,8,7,10,0
0,7,11,8,0
0,8,7,12,0
0,7,8,13,0
0,7,8,14,0
0,7,8,15,0
0,7,10,9,0
0,7,11,9,0
0,7,9,12,0
0,9,7,13,0
0,9,7,14,0
0,9,7,15,0
0,7,11,10,0
0,7,10,12,0
0,10,7,13,0
0,10,7,14,0
0,10,7,15,0
0,7,11,12,0
0,11,7,13,0
0,11,7,14,0
0,11,7,15,0
0,7,13,12,0
0,7,14,12,0
0,7,15,12,0
0,7,14,13,0
0,7,15,13,0
0,7,14,15,0
0,8,10,9,0
0,8,11,9,0
0,8,9,12,0
0,9,8,13,0
0,9,8,14,0
0,9,8,15,0
0,8,11,10,0
0,8,10,12,0
0,10,8,13,0
0,10,8,14,0
0,10,8,15,0
0,8,11,12,0
0,11,8,13,0
0,11,8,14,0
0,11,8,15,0
0,8,13,12,0
0,8,14,12,0
0,8,15,12,0
0,8,14,13,0
0,8,15,13,0
0,8,14,15,0
0,9,10,11,0
0,10,9,12,0
0,9,10,13,0
0,9,10,14,0
0,10,9,15,0
0,11,9,12,0
0,9,11,13,0
0,9,11,14,0
0,9,11,15,0
0,9,12,13,0
0,9,12,14,0
0,9,12,15,0
0,9,13,14,0
0,9,15,13,0
0,9,15,14,0
0,11,10,12,0
0,10,11,13,0
0,10,11,14,0
0,10,11,15,0
0,10,12,13,0
0,12,10,14,0
0,10,12,15,0
0,10,14,13,0
0,10,13,15,0
0,10,14,15,0
0,11,12,13,0
0,12,11,14,0
0,11,12,15,0
0,11,14,13,0
0,11,13,15,0
0,11,14,15,0
0,12,15,13,0
0,12,15,14,0
0,13,14,15,0
0,1,3,4,2,0
0,1,3,2,5,0
0,1,3,2,6,0
0,2,3,1,7,0
0,2,8,1,3,0
0,1,9,3,2,0
0,2,3,1,10,0
0,2,3,1,11,0
0,1,3,12,2,0
0,1,3,2,13,0
0,1,3,2,14,0
0,1,3,2,15,0
0,1,4,2,6,0
0,2,4,1,7,0
0,1,8,2,4,0
0,1,9,4,2,0
0,2,4,1,10,0
0,2,4,1,11,0
0,1,12,4,2,0
0,1,4,2,13,0
0,1,4,2,14,0
0,1,4,15,2,0
0,1,5,6,2,0
0,1,7,5,2,0
0,1,8,5,2,0
0,2,5,1,9,0
0,1,10,5,2,0
0,1,11,5,2,0
0,1,5,15,2,0
0,1,7,6,2,0
0,1,8,6,2,0
0,1,9,2,6,0
0,1,10,6,2,0
0,1,11,6,2,0
0,1,12,2,6,0
0,1,6,13,2,0
0,1,6,14,2,0
0,1,6,15,2,0
0,1,7,8,2,0
0,1,9,7,2,0
0,1,10,7,2,0
0,1,11,7,2,0
0,2,12,1,7,0
0,1,7,13,2,0
0,1,7,14,2,0
0,1,7,15,2,0
0,1,9,8,2,0
0,1,10,8,2,0
0,1,11,8,2,0
0,2,12,1,8,0
0,1,8,13,2,0
0,1,8,14,2,0
0,1,8,15,2,0
0,2,1,9,10,0
0,1,9,11,2,0
0,1,9,12,2,0
0,1,9,2,13,0
0,1,9,2,14,0
0,1,9,2,15,0
0,1,10,11,2,0
0,2,12,1,10,0
0,1,10,13,2,0
0,1,10,14,2,0
0,1,10,15,2,0
0,2,12,1,11,0
0,1,11,13,2,0
0,1,11,14,2,0
0,1,11,15,2,0
0,1,12,2,13,0
0,1,12,2,14,0
0,1,12,2,15,0
0,1,2,14,13,0
0,1,2,15,13,0
0,1,2,15,14,0
0,1,3,4,6,0
0,4,3,1,7,0
0,4,3,1,8,0
0,1,9,3,4,0
0,4,3,1,10,0
0,4,3,1,11,0
0,1,3,4,15,0
0,3,1,5,6,0
0,3,1,7,5,0
0,3,1,8,5,0
0,1,3,15,5,0
0,3,1,7,6,0
0,3,1,8,6,0
0,3,9,1,6,0
0,3,1,10,6,0
0,3,1,11,6,0
0,6,1,3,12,0
0,3,1,6,13,0
0,3,1,6,14,0
0,1,3,15,6,0
0,3,1,7,8,0
0,3,9,1,7,0
0,3,1,10,7,0
0,3,1,11,7,0
0,7,1,3,12,0
0,3,1,7,13,0
0,3,1,7,14,0
0,7,1,3,15,0
0,3,9,1,8,0
0,3,1,10,8,0
0,3,1,11,8,0
0,8,1,3,12,0
0,3,1,8,13,0
0,3,1,8,14,0
0,3,1,8,15,0
0,1,10,9,3,0
0,1,3,9,11,0
0,1,9,3,12,0
0,1,9,3,14,0
0,1,9,3,15,0
0,3,1,10,11,0
0,10,1,3,12,0
0,3,1,10,14,0
0,10,1,3,15,0
0,11,1,3,12,0
0,3,1,11,13,0
0,3,1,11,14,0
0,11,1,3,15,0
0,1,3,12,15,0
0,1,3,15,13,0
0,1,3,15,14,0
0,1,4,6,5,0
0,4,1,7,5,0
0,4,1,7,6,0
0,4,1,8,6,0
0,1,9,4,6,0
0,4,1,10,6,0
0,4,1,11,6,0
0,1,12,4,6,0
0,1,4,13,6,0
0,1,4,14,6,0
0,1,4,15,6,0
0,4,1,7,8,0
0,4,9,1,7,0
0,4,1,10,7,0
0,4,1,11,7,0
0,4,12,1,7,0
0,7,1,4,13,0
0,1,7,14,4,0
0,7,1,4,15,0
0,4,9,1,8,0
0,4,1,10,8,0
0,4,1,11,8,0
0,4,12,1,8,0
0,1,8,14,4,0
0,1,8,15,4,0
0,1,11,9,4,0
0,1,9,4,15,0
0,4,1,10,11,0
0,10,1,4,15,0
0,4,12,1,11,0
0,11,1,4,15,0
0,1,12,4,15,0
0,1,4,15,13,0
0,1,4,15,14,0
0,1,7,5,6,0
0,1,8,5,6,0
0,6,5,1,9,0
0,1,10,5,6,0
0,1,11,5,6,0
0,6,5,1,12,0
0,1,5,14,6,0
0,1,6,5,15,0
0,1,7,8,5,0
0,1,9,7,5,0
0,1,10,7,5,0
0,1,11,7,5,0
0,5,7,1,12,0
0,1,7,5,15,0
0,1,11,8,5,0
0,1,8,5,15,0
0,9,1,5,15,0
0,1,10,5,15,0
0,1,11,5,15,0
0,1,7,8,6,0
0,1,9,7,6,0
0,1,10,7,6,0
0,1,11,7,6,0
0,6,7,1,12,0
0,1,7,6,13,0
0,1,7,14,6,0
0,1,7,6,15,0
0,1,9,8,6,0
0,1,10,8,6,0
0,1,11,8,6,0
0,6,8,1,12,0
0,1,8,6,13,0
0,1,8,14,6,0
0,1,8,6,15,0
0,1,9,10,6,0
0,1,9,11,6,0
0,6,1,9,12,0
0,9,1,6,13,0
0,9,1,6,14,0
0,1,9,15,6,0
0,1,10,11,6,0
0,6,10,1,12,0
0,1,10,6,13,0
0,1,10,6,14,0
0,1,10,6,15,0
0,6,11,1,12,0
0,1,11,6,13,0
0,1,11,14,6,0
0,1,11,6,15,0
0,1,12,13,6,0
0,1,12,14,6,0
0,1,12,15,6,0
0,1,6,14,13,0
0,1,6,15,13,0
0,1,6,14,15,0
0,1,9,7,8,0
0,1,10,7,8,0
0,1,11,7,8,0
0,8,7,1,12,0
0,1,7,8,13,0
0,1,7,8,14,0
0,1,7,8,15,0
0,1,9,10,7,0
